case_id,category,friction_coefficient,target_wheel_speed_rad_s,timestep_s,time_s,time_from_first_contact_s,contact_id,side,ball_x_m,ball_y_m,ball_z_m,ball_vx_m_s,ball_vy_m_s,ball_vz_m_s,ball_speed_m_s,ball_wx_rad_s,ball_wy_rad_s,ball_wz_rad_s,compression_m,compression_rate_m_s,normal_force_n,tangential_force_n,tangential_force_x_n,tangential_force_y_n,tangential_force_z_n,wheel_speed_rad_s,wheel_speed_droop_rad_s,wheel_speed_droop_percent,applied_motor_torque_nm,motor_mechanical_power_w,wheel_rotational_energy_j,wheel_surface_speed_at_contact_m_s,ball_surface_speed_at_contact_m_s,relative_tangential_velocity_x_m_s,relative_tangential_velocity_y_m_s,relative_tangential_velocity_z_m_s,slip_velocity_m_s,slip_ratio,friction_utilization,near_coulomb_limit,ball_contact_power_w,wheel_contact_power_w,contact_x_m,contact_y_m,contact_z_m,wheel_x_m,wheel_y_m,wheel_z_m,wheel_axis_x,wheel_axis_y,wheel_axis_z
regression_mu_0p3_dt_1ms,friction_speed_matrix,0.3,80.0,0.001,2.02,0.0,0,left,-0.0272511,0.0,0.338484,2.81908,0.0,0.85946,2.9471823048464443,0.0,1.97746e-15,0.0,0.000659581,0.657059,1.87,0.5610002632102769,0.507771,-0.125191,0.20302,79.9987,-0.0018940000000071677,-0.0023675945262204194,0.160067,12.8051519129,21.60301663137625,7.999870338896251,2.868736196892067,-4.646440248591726,1.1455779554348684,-1.8577649603411617,5.133521840177839,0.6417006304737328,1.000000469180529,True,0.37723310644149977,-4.485816650749418,-0.0204662,0.0315241,0.340954,7.78295e-17,0.129,0.35,-0.34202,0.0,0.939693
regression_mu_0p3_dt_1ms,friction_speed_matrix,0.3,80.0,0.001,2.02,0.0,1,right,-0.0272511,0.0,0.338484,2.81908,0.0,0.85946,2.9471823048464443,0.0,1.97746e-15,0.0,0.000659581,0.657059,1.87,0.5610002632102769,0.507771,0.125191,0.20302,-79.9987,-0.0018940000000071677,-0.0023675945262204194,-0.160067,12.8051519129,21.60301663137625,7.999870338896251,2.868736196892067,-4.646440248591726,-1.1455779554348684,-1.8577649603411617,5.133521840177839,0.6417006304737328,1.000000469180529,True,0.37723310644149977,-4.485816650749418,-0.0204662,-0.0315241,0.340954,7.78295e-17,-0.129,0.35,-0.34202,0.0,0.939693
regression_mu_0p3_dt_1ms,friction_speed_matrix,0.3,80.0,0.001,2.021,0.0009999999999998899,0,left,-0.024428,0.0,0.339336,2.82306,0.0,0.851737,2.948749511363927,0.0,-0.0058672,0.0,0.00128562,0.594621,5.0752,1.5225573844686446,1.38372,-0.30735,0.55591,79.9904,0.0064059999999983575,0.008007819712199956,0.160481,12.8369393824,21.59853416512516,7.9990405025057045,2.883447112181676,-4.65154169250006,1.0331921241620394,-1.868753303578726,5.118258003670115,0.6398589933463666,0.9999982821489102,True,1.3619920154995744,-12.172584061240055,-0.018409,0.0310608,0.341527,7.72513e-17,0.129,0.35,-0.34202,1.38778e-17,0.939693
regression_mu_0p3_dt_1ms,friction_speed_matrix,0.3,80.0,0.001,2.021,0.0009999999999998899,1,right,-0.024428,0.0,0.339336,2.82306,0.0,0.851737,2.948749511363927,0.0,-0.0058672,0.0,0.00128562,0.594621,5.0752,1.5225573844686446,1.38372,0.30735,0.55591,-79.9904,0.0064059999999983575,0.008007819712199956,-0.160481,12.8369393824,21.59853416512516,7.9990405025057045,2.883447112181676,-4.65154169250006,-1.0331921241620394,-1.868753303578726,5.118258003670115,0.6398589933463666,0.9999982821489102,True,1.3619920154995744,-12.172584061240055,-0.018409,-0.0310608,0.341527,7.72513e-17,-0.129,0.35,-0.34202,-1.38778e-17,0.939693
regression_mu_0p3_dt_1ms,friction_speed_matrix,0.3,80.0,0.001,2.022,0.0019999999999997797,0,left,-0.0215905,0.0,0.340185,2.83756,0.0,0.849018,2.961853865052089,0.0,-0.0208122,0.0,0.00185083,0.533096,8.74367,2.623097697594964,2.39271,-0.472658,0.965492,79.9679,0.028905999999992105,0.03613394264765034,0.161604,12.9231325116,21.586385240469163,7.996791503785185,2.9083614558869355,-4.644182039910907,0.9174132562112566,-1.8739868034860745,5.091355462167528,0.6366747788481913,0.9999987410301641,True,2.947970813013307,-20.964174408430388,-0.0163131,0.0306387,0.342106,7.64295e-17,0.129,0.35,-0.34202,6.93889e-18,0.939693
regression_mu_0p3_dt_1ms,friction_speed_matrix,0.3,80.0,0.001,2.022,0.0019999999999997797,1,right,-0.0215905,0.0,0.340185,2.83756,0.0,0.849018,2.961853865052089,0.0,-0.0208122,0.0,0.00185083,0.533096,8.74367,2.623097697594964,2.39271,0.472658,0.965492,-79.9679,0.028905999999992105,0.03613394264765034,-0.161604,12.9231325116,21.586385240469163,7.996791503785185,2.9083614558869355,-4.644182039910907,-0.9174132562112566,-1.8739868034860745,5.091355462167528,0.6366747788481913,0.9999987410301641,True,2.947970813013307,-20.964174408430388,-0.0163131,-0.0306387,0.342106,7.64295e-17,-0.129,0.35,-0.34202,-6.93889e-18,0.939693
regression_mu_0p3_dt_1ms,friction_speed_matrix,0.3,80.0,0.001,2.023,0.0030000000000001137,0,left,-0.0187215,0.0,0.341039,2.86899,0.0,0.853918,2.9933726080833973,0.0,-0.0445281,0.0,0.00235649,0.472467,12.529,3.7586928858858633,3.43989,-0.593953,1.39361,79.9293,0.06750599999999451,0.0843858691058172,0.163533,13.0710782169,21.565551046454427,7.992932733033117,2.950436372297186,-4.61769767419857,0.7973186296929041,-1.8707817152813855,5.045658830498294,0.6312650186139617,0.9999981072939749,True,5.13953898243222,-30.024127899274582,-0.0141683,0.030258,0.342696,7.53699e-17,0.129,0.35,-0.34202,0.0,0.939693
regression_mu_0p3_dt_1ms,friction_speed_matrix,0.3,80.0,0.001,2.023,0.0030000000000001137,1,right,-0.0187215,0.0,0.341039,2.86899,0.0,0.853918,2.9933726080833973,0.0,-0.0445281,0.0,0.00235649,0.472467,12.529,3.7586928858858633,3.43989,0.593953,1.39361,-79.9293,0.06750599999999451,0.0843858691058172,-0.163533,13.0710782169,21.565551046454427,7.992932733033117,2.950436372297186,-4.61769767419857,-0.7973186296929041,-1.8707817152813855,5.045658830498294,0.6312650186139617,0.9999981072939749,True,5.13953898243222,-30.024127899274582,-0.0141683,-0.030258,0.342696,7.53699e-17,-0.129,0.35,-0.34202,0.0,0.939693
regression_mu_0p3_dt_1ms,friction_speed_matrix,0.3,80.0,0.001,2.024,0.0040000000000000036,0,left,-0.0157981,0.0,0.341907,2.92341,0.0,0.868809,3.0497795176997635,0.0,-0.0751496,0.0,0.00280314,0.411829,16.2127,4.8638134551219165,4.46416,-0.657535,1.81538,79.8743,0.12250599999998713,0.15313861405915025,0.166287,13.2820577241,21.535882396204496,7.987429047765768,3.016272150451873,-4.565778753168196,0.6725009719192554,-1.856703915625222,4.974529385822593,0.6227948137096831,1.0000007103735378,True,7.950991758614018,-38.82294671898939,-0.0119594,0.0299193,0.343305,7.40797e-17,0.129,0.35,-0.34202,2.08167e-17,0.939693
regression_mu_0p3_dt_1ms,friction_speed_matrix,0.3,80.0,0.001,2.024,0.0040000000000000036,1,right,-0.0157981,0.0,0.341907,2.92341,0.0,0.868809,3.0497795176997635,0.0,-0.0751496,0.0,0.00280314,0.411829,16.2127,4.8638134551219165,4.46416,0.657535,1.81538,-79.8743,0.12250599999998713,0.15313861405915025,-0.166287,13.2820577241,21.535882396204496,7.987429047765768,3.016272150451873,-4.565778753168196,-0.6725009719192554,-1.856703915625222,4.974529385822593,0.6227948137096831,1.0000007103735378,True,7.950991758614018,-38.82294671898939,-0.0119594,-0.0299193,0.343305,7.40797e-17,-0.129,0.35,-0.34202,-2.08167e-17,0.939693
