Net,Component,Pin,X_mm,Y_mm
D10_IR2,U1,L13_D10,16.0,44.48
D10_IR2,J8,SIG,37.08,72.0
D2_ENC_A,U1,L5_D2,16.0,24.16
D2_ENC_A,J5,ENC_A,80.08,56.0
D3_PWMA,U1,L6_D3,16.0,26.7
D3_PWMA,U2,L1_PWMA,60.0,14.0
D4_AIN1,U1,L7_D4,16.0,29.24
D4_AIN1,U2,L3_AIN1,60.0,19.08
D5_AIN2,U1,L8_D5,16.0,31.78
D5_AIN2,U2,L2_AIN2,60.0,16.54
D6_STBY,U1,L9_D6,16.0,34.32
D6_STBY,U2,L4_STBY,60.0,21.62
D7_ENC_B,U1,L10_D7,16.0,36.86
D7_ENC_B,J5,ENC_B,82.62,56.0
D9_IR1,U1,L12_D9,16.0,41.94
D9_IR1,J6,SIG,10.08,72.0
GND,U1,L4_GND,16.0,21.62
GND,U1,R14_GND2,38.86,47.02
GND,U2,L8_GND,60.0,31.78
GND,U2,R3_GND,80.32,19.08
GND,U2,R8_GND2,80.32,31.78
GND,J3,P2,53.5,6.0
GND,J5,GND,77.54,56.0
GND,J6,GND,7.54,72.0
GND,J7,GND,20.54,72.0
GND,J8,GND,34.54,72.0
GND,J9,GND,47.54,72.0
MOTOR_A,U2,R4_AO1,80.32,21.62
MOTOR_A,J4,P1,84.0,6.0
MOTOR_B,U2,R5_AO2,80.32,24.16
MOTOR_B,J4,P2,87.5,6.0
VCC_12V,J3,P1,50.0,6.0
VCC_12V,U2,R1_VM,80.32,14.0
VCC_5V,U1,R12_5V,38.86,41.94
VCC_5V,U2,R2_VCC,80.32,16.54
VCC_5V,J5,VCC,75.0,56.0
VCC_5V,J6,VCC,5.0,72.0
VCC_5V,J7,VCC,18.0,72.0
VCC_5V,J8,VCC,32.0,72.0
VCC_5V,J9,VCC,45.0,72.0
